name,type,citta,nazione,sito_web,num_executives,num_fondi,totale_aum_eur,aum_raw,num_portfolio,check_min_eur,check_max_eur,preferenze_geo,focus_investimento,preferenze_settore,remarks
21 Invest,Private Equity,Treviso,Italia,http://www.21invest.com,56,6,1500000000,1.5 Bln Euro,21,20000000,55000000,"Europe, France, Italy","Buy Out, Expansion, Impact Investing","Food and Beverages, Healthcare, ICT, Industrial products and services, Medtech, Other manufacturing, Sustainability","21 Invest, a European group led by Alessandro Benetton and part of the 21 Next group, invests in mid-market companies in Italy, France, and Spain, providing strategic guidance to accelerate their growth and improve efficiency. The firm has completed more than 120 investments and raised nearly €bn 3 from institutional investors worldwide over the last 34 years of activity"
8a+ Investimenti SGR,"Private Debt, Private Equity, Venture Capital",Varese,Italia,http://www.ottoapiu.it,,9,500000000,500 Mln Euro,,500000,,"Europe, Italy, Worldwide",All Stages,,"Established in 2006 and active in the management of UCIs, AIFs and segregated managed accounts, 8a+ Investimenti SGR S.p.A. also provides advisory services and is the Management Company of 8a+ Sicav.For over 20 years 8a+ has been taking care of its clients' savings, through a wide range of financial instruments to satisfy different investment needs. Starting from the end of 2019, in conjunction with the opening of Private Markets also to private investors, 8a+ has developed new innovative products dedicated to the real economy in partnership with Banca Generali within the BG4Real project."
Abenex,,Milano,Italia,https://www.abenex.com/it/,50,11,2000000000,2.0 Bln Euro,25,10000000,100000000,Europe,"Buy Out, Impact Investing",,
Advent International,Private Equity,Milano,Italia,http://www.adventinternational.com,315,4,90000000000,~90 Bln Euro,103,50000000,2000000000,Worldwide,"Buy Out, Expansion","Chemicals and materials, Fashion, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Other manufacturing, Retail","Founded in Boston (US) in 1984, Advent is one of the world’s largest and most successful private equity groups. Advent focuses on five core industry sectors where the firm has substantial experience: Business & Financial Services, Healthcare, Industrial, Retail, Consumer & Leisure"
AKSÌA SGR,Private Equity,Milano,Italia,http://www.aksiasgr.com,4,3,400000000,400 Mln Euro,12,5000000,40000000,Europe,Buy Out,,
Alcedo SGR,Private Equity,Treviso,Italia,http://www.alcedo.it,5,2,433000000,433 Mln Euro,12,5000000,35000000,Italy,Buy Out,"Agriculture, Food and Beverages, ICT, Industrial products and services, Medtech",
Algebris Investments (Ireland) Limited - Milan Branch,"Private Equity, Venture Capital",Milano,Italia,https://www.algebris.com/it/,3,1,380,€380mn,5,,,Europe,Buy Out,Energy and environment,
Aliante Lux,Private Equity,Lussemburgo,Lussemburgo,https://aliantegroup.eu,22,5,650000000,650 Mln Euro,38,3000000,,"Canada, Europe, Italy, USA",Buy Out,"AI & Digital, Automation, Consumer, Food and Beverages, Furniture, Healthcare, ICT, Machinery, Mechanics, Media, Packaging, Personal Care","Founded in 2006, Aliante has launched its fourth vehicle, Aliante Equity Fund (“AEF”), the firm’s first Luxembourg-regulated fund. AEF has succesfully raised 130 Mln at first closing with an additional 25 Mln Euro in co-investment, targeting a hard cap of €350 million.Aliante focuses on investing in Small and Medium Enterprises operating in 'Made in Italy' sectors, recognized worldwide for their quality and excellence. Through a collaborative management approach, Aliante has consistently driven growth and operational efficiency while executing multiple bolt-on acquisitions across North America and Europe. This strategy enables Aliante to leverage the best of 'Made in Italy,' delivering exponential growth in large North American consumer markets to boost sales and create attractive transatlantic platforms.With its extensive network and expertise, Aliante primarily invests through majority acquisitions, uncovering hidden value while delivering strong returns. With a top-tier track record, €650 million AUM, and 38 deals closed to date, Aliante is ready for its next chapter."
Alkemia SGR,"Private Equity, Venture Capital",Milano,Italia,http://www.alkemiacapital.com,11,5,221000000,221 Mln Euro,23,3000000,50000000,Italy,"Buy Out, Early Stage, Expansion",,"Focus: VC Growth, Hybrid, VC scale-up, PE lower mid market build-up, PIPE small-mid cap"
Alpha Associati,Private Equity,Milano,Italia,http://www.alphape.com,19,2,1500000000,1.5 Bln Euro,9,100000000,500000000,Europe,Buy Out,,"Alpha considers the principal adverse impacts (PAI) of its investment decisions on environmental, social and employee matters, respect for human rights, anti-corruption and anti-bribery matters by means of its policy on integration of ESG risks and value creation opportunities into the investment process. Moreover, Principles Adverse Impacts are monitored on a yearly basis through a yearly data collection on sustainability KPIs, which involves all portfolio companies. Alpha will continue to review the evolution of SFDR regulations in relation to PAI."
