name,type,focus_investimento,check_min_eur,check_max_eur,preferenze_settore,preferenze_geo,totale_aum_eur,sito_web
21 Invest,Private Equity,"Buy Out, Expansion, Impact Investing",20000000,55000000,"Food and Beverages, Healthcare, ICT, Industrial products and services, Medtech, Other manufacturing, Sustainability","Europe, France, Italy",1500000000,http://www.21invest.com
8a+ Investimenti SGR,"Private Debt, Private Equity, Venture Capital",All Stages,500000,,,"Europe, Italy, Worldwide",500000000,http://www.ottoapiu.it
Abenex,,"Buy Out, Impact Investing",10000000,100000000,,Europe,2000000000,https://www.abenex.com/it/
Advent International,Private Equity,"Buy Out, Expansion",50000000,2000000000,"Chemicals and materials, Fashion, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Other manufacturing, Retail",Worldwide,90000000000,http://www.adventinternational.com
AKSÌA SGR,Private Equity,Buy Out,5000000,40000000,,Europe,400000000,http://www.aksiasgr.com
Alcedo SGR,Private Equity,Buy Out,5000000,35000000,"Agriculture, Food and Beverages, ICT, Industrial products and services, Medtech",Italy,433000000,http://www.alcedo.it
Algebris Investments (Ireland) Limited - Milan Branch,"Private Equity, Venture Capital",Buy Out,,,Energy and environment,Europe,380,https://www.algebris.com/it/
Aliante Lux,Private Equity,Buy Out,3000000,,"AI & Digital, Automation, Consumer, Food and Beverages, Furniture, Healthcare, ICT, Machinery, Mechanics, Media, Packaging, Personal Care","Canada, Europe, Italy, USA",650000000,https://aliantegroup.eu
Alkemia SGR,"Private Equity, Venture Capital","Buy Out, Early Stage, Expansion",3000000,50000000,,Italy,221000000,http://www.alkemiacapital.com
Alpha Associati,Private Equity,Buy Out,100000000,500000000,,Europe,1500000000,http://www.alphape.com
Alternative Capital Partners SGR,"Infrastrutture, Private Debt","Infrastructure, Private Debt",,,Energy and environment,Italy,,http://www.alternativecapital.partners
Alto Partners SGR,Private Equity,Buy Out,20000000,40000000,,Northern Italy,500000000,http://www.altopartners.it
Amber Capital Italia SGR,Private Equity,All Stages,,,,,,http://www.ambercapital.com
Ambienta SGR,Private Equity,Buy Out,30000000,300000000,Sustainability,Europe,3000000000,http://www.ambientasgr.com
Amundi,"Private Debt, Private Equity","Buy Out, Expansion, Private Debt",3000000,15000000,"Agriculture, Food and Beverages, Other manufacturing",Italy,300,https://www.amundi.it/investitori_privati
Andera Partners,Private Equity,"Buy Out, Expansion, Replacement",30000000,120000000,"Agriculture, Biotech, Chemicals and materials, Financial and insurance activities, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Other manufacturing",Europe,5200000000,http://www.anderapartners.com
Anima Alternative SGR,Private Debt,"Buy Out, Expansion, Private Debt, Replacement",2000000,20000000,,Italy,453000000,http://www.animaalternative.it
Anthilia SGR,Private Debt,"Expansion, Private Debt",1000000,,,Italy,2700000000,http://www.anthilia.it
Apax Partners,Private Equity,"Buy Out, Expansion, Impact Investing, Private Debt",40000000,600000000,"Financial and insurance activities, ICT, Industrial products and services","Asia, Europe, USA",80000000000,http://www.apax.com
Apeiron Management,Private Debt,"Expansion, Private Debt, Replacement",30000000,150000000,,Italy,550000000,http://www.apeironmgmt.com
Apheon,,Buy Out,,,,Europe,4500000000,https://www.apheon.com/
Apollo Global Management,,,,,,,938000000000,http://www.apollo.com
Arca Space Capital,Private Equity,"Buy Out, Expansion",500000,,"Consumer, Energy and environment, Food and Beverages, Healthcare, ICT, Industrial products and services, Mechanics, Medtech, Sustainability","Europe, Italy",205,http://www.arcafondi.it
ARDIAN Italy,"Infrastrutture, Private Equity","Buy Out, Expansion, Infrastructure, Real Estate",10000000,500000000,"Chemicals and materials, Construction, Energy and environment, Financial and insurance activities, Food and Beverages, Furniture, Healthcare, ICT, Industrial products and services, Other, Other manufacturing, Retail, Transportation",Europe,,http://www.ardian.com
Ares Management,,,,,,,623000000000,www.aresmgmt.com
Argos Fund,Private Equity,"Buy Out, Impact Investing",15000000,100000000,,"Europe, Italy",2000000000,http://www.argos.wityu.fund
Armònia SGR,Private Equity,,,,,,,
Aurora Growth Capital,Private Equity,"Buy Out, Expansion",20000000,60000000,"Energy and environment, Fashion, Food and Beverages, Healthcare, ICT, Industrial products and services, Retail, Sustainability",Italy,500000000,http://www.auroragrowthcapital.it
Avanzi Etica Sicaf EuVECA,Venture Capital,"Early Stage, Impact Investing",250000,,,Europe,19590000,http://www.aimpact.org
AVM SGR SpA Gestore EuVECA Società Benefit,"Private Equity, Venture Capital","Buy Out, Early Stage, Expansion",500000,,"Agriculture, Fashion, Food and Beverages, Healthcare, ICT, Industrial products and services, Other, Transportation",Italy,200000000,http://www.avmgestioni.com
Axon Partners Group,"Private Debt, Private Equity, Venture Capital","Early Stage, Expansion, Impact Investing",250000,20000000,ICT,Europe,900000000,https://www.axonpartnersgroup.com/
Azimut Libera Impresa SGR,"Infrastrutture, Private Debt, Private Equity, Venture Capital","Buy Out, Early Stage, Expansion, Infrastructure, Private Debt, Replacement",,,,Italy,,http://www.azimutliberaimpresa.it
Azzurra Capital,Private Equity,,,,,"Europe, Italy",629300000,www.azzurracapital.com
B4 Investimenti SGR,Private Equity,"Buy Out, Expansion",2000000,10000000,"Agriculture, Food and Beverages, Furniture, Industrial products and services, Mechanics, Other manufacturing",Italy,150000000,http://www.b4investimenti.it
